Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-07-19 15:45:00,"Hey, we featured an article on data bounties through Dataconomy.

We featured an article on Data Bounties via Dataconomy, a leading resource / news platform for data scientists!

RT ->

https://twitter.com/realdatawhale/status/1549300507897958407?s=20&t=CdPfaVTVW6SlcMkSDkiP6g",,"🤘🏾 (2),🔥 (2)",0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-07-19 16:53:00,"Is there anyone who wants to team up on this?

It is one hell of a lot of data 😆",,,-0.6808
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-19 17:08:00,"Great idea, @JB1908.oceanprotocol may be interested 🙂",,✅ (2),0.7783
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-07-19 17:15:00,"Will DM, thanks.",,👍 (2),0.4404
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-07-20 22:39:00,"Idk how far back these data sets go or if they were only for 1 year, but one thing I’ve always wanted to see was how weather data correlates to wine vintage prices. For example, Chianti 2015 was a really good year… what happened! I need to know",,"🍷 (3),💜 (3)",0.6577
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-07-25 16:51:00,"Hey man, what programme are you using to access the weather data? I am having trouble with the NC4 file extension - and Windows is doing a terrible job finding the right programme.",,,-0.7003
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-07-25 22:18:00,I have not even touched a data set. Wouldn’t know where to begin,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-07-25 22:19:00,No probs bro!,,,-0.3595
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-27 02:34:00,@marcusmatters check this out,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-27 02:53:00,"NC4 are called netcdf files. These files can be opened in python using the library netCDF4

Below is a link to videos on how to work with netcdf or nc4 files.
https://www.youtube.com/watch?v=ue55Mxe4yVQ&list=PLLxyyob7YmEE8S3QDs1PZQkiBxA4zn_Gx",,"🤘🏾 (1),🚀 (1)",0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-01 14:57:00,"Hey oceaners, I know you're working on the bounty. Wondering how it is going and if you have questions/need help? @Bhalisa @JB1908.oceanprotocol",,🤘🏾 (1),0.4019
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-08-02 16:34:00,Will bring the questions as they arise ✅,,🚀 (1),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-08-02 23:16:00,"I decided no excuses, I'm a data scientist now. I'm going to get as far as I can with Rstudio (recommendations for other better softwares welcome)",,💜 (1),0.1779
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-02 23:59:00,"This is awesome, and yeah you don’t necessarily need coding skills for phase 1. 

Python + Jupyter would be a good start, but to participate and derive insights you can also download the datasets and analyze the reports with no line of coding technically!",,,0.3802
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-04 17:47:00,There's an error when trying to download the datasets,https://cdn.discordapp.com/attachments/993828971408003152/1004687083945869332/Screen_Shot_2022-08-04_at_11.43.21_AM.png?ex=65e052c2&is=65cdddc2&hm=e8fe163c189d7657a479526203a3bf339e3db91ae6d75239683d79ad7a85e659&,,-0.4019
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],780159213049479179,idiom_bytes,2022-08-05 23:49:00,"Have you gotten this to work @realdatawhale ?

@Ocean Core Dev",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-08 05:18:00,No it's still not working.,,,-0.296
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-09 00:50:00,Hi was this fixed ?,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-08-09 07:56:00,I was getting a timeout error before that resolved itself. Do you know if its a timeout error?,,,-0.5719
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],780159213049479179,idiom_bytes,2022-08-09 08:04:00,"@realdatawhale, can you check against hygobro's Q above
I'll ping the team as well",,,0.2732
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-08-12 08:50:00,Is the dimitra bounty proposal due at midnight tonight 🥺,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],851254622794678314,hygrobro#6283,2022-08-12 09:55:00,@Idiom | Ocean Protocol,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],843831770062913568,white_rider_,2022-08-12 16:18:00,"That's correct, you can submit your application till midnight 🙂",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],361211271544176660,Demo#7629,2022-08-13 00:57:00,Can you tell me in which time zone please ?,,,0.3182
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-13 02:11:00,Hi @White Rider I just wanted to highlight that the Marketplace is still not working since last week (consume).,,,0.34
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-13 02:11:00,@Corrie Sloot highlighted and pointed towards the issue.,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],782929693446897695,realdatawhale,2022-08-13 02:12:00,"Unfortunately, we had tried to onboard a few additional participants for Phase 1 of the bounty but with the consume not working for more than a week now it was difficult.",,,-0.6059
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],806183201679998986,corrie6921,2022-08-13 04:08:00,FYI: I was just now able to download this data set.,,,0.368
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-08-16 17:58:00,"Hey @Andrea | Ocean Protocol, should we expect any updates for Phase 1 this week?",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-16 18:27:00,"Hey @Bhalisa 

The council is meeting in the next few days to evaluate all submissions. 

We expect the winners to be announced on Tuesday, Aug 23rd after which the community will be invited to vote on the Community Award winner. 

The result of the vote will be revealed on Wednesday, Aug 24th. Then, we will also announce Phase 2 😎 🎉",,"✅ (1),🌊 (1)",0.886
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-08-16 18:31:00,Is that the same time Milestone 1 will be rewarded?,,,0.4939
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-16 18:33:00,"The date of rewards distribution is still TBD, possibly at the end of Phase 2",,,0.4767
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-08-16 18:38:00,"Milestone 1 is basically submitting and getting 250 OCEAN for it. I am asking this because there is an option on Questbook: 'Mark as Done', do we mark it as done or we wait for the 250 OCEAN to do that?",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-16 19:30:00,"If you've submitted it, you shall mark as done. But it is not a deal breaker",,✅ (2),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-08-26 16:09:00,"@📊Data scientist 

Thank you for all your contributions 🎉 

The panel of judges from Ocean and Dimitra have finished evaluating all reports and after much consideration here are the top three winners! 🏆 

1️⃣ Prize: $1,500 - Konrad
Crop Yield Prediction Algorithm 
https://bit.ly/3TpHT6L

2️⃣ Prize: $1,000 - Tom
Improving Crop Profitability Through Yield Analysis 
https://bit.ly/3wq6Epg

3️⃣ Prize: $500 - Moritz
Key Factors Influencing Crop Yield
https://bit.ly/3KifqLF

Now it’s your turn to confer the ""Community Award"" on one of these proposals! 🚀 
Cast your vote in favor of the report you consider best. 
Voting closes today 26th August @ 12:00 PM UTC 👇🏼 

https://docs.google.com/forms/d/e/1FAIpQLSci8qvx9hmjQKpRyJfEPK4aHlKMFhqrvEXBIc30CprAZVBseg/viewform",,"🔥 (8),✅ (2),🤍 (2)",0.9851
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],871801151107002398,nixon323,2022-09-06 01:27:00,Congrats,,,0.5267
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],704093436952969246,Timothy.AthenaProtocol.Eth#2384,2022-09-07 10:02:00,It would have been really nice to see some more of a regenerative focus to the submissions but congratulations all the same everyone,,,0.8124
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-07 17:31:00,We can always focus one of the next challenges on ReFi. Would be interesting to see what results can come up. Happy to work on this with you if you already have ideas,,,0.7717
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-13 20:16:00,"@📊Data scientist 

The Ocean x Dimitra Data Challenge Phase 2 is now LIVE 🚀

This strategic challenge incentivises data analysis and the building of algorithms to harness the power of agricultural data for global change 🧑‍🌾

🎯 The objectives:

1. Rank the factors that affect yields and build a simple model to predict yields based on the features.

2. Identify and explain any trends in the yields over the 10 year period.

🏆The total prize pool is $10,000 USD (payable in OCEAN + DMTR)

1st place:                    $4,000
2nd place:                  $3,000
3rd place:                   $2,000
Community Award:   $1,000

📚More details here: https://bit.ly/3B5a4zc

Let’s use this channel for questions and answers! 

Good luck 😎🍀",,🚀 (4),0.9273
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-09-23 17:28:00,"Hey @Andrea | Ocean Protocol ,

When performing feature selection analysis, do we have to perform ALL the recommended analysis methods (graphical method (times series) & advanced methods (anova, based on correlation, etc.), or we are at liberty to choose between the two methods?

Similarly in the time series analysis, do we have to use the previous graphical methods to identify trends AND develop a model (ARIMA, Prophet, other regressors), or we can choose between the two methods?

It is stated in the description of the challenge: ""You MUST AT LEAST perform the graphical methods described below in order to be considered for the competition.""

Does this mean we have to do what is described under 'Graphical Method'? or it means we can choose to do that which is described as 'Potential Advanced Methods' instead?",,,0.8577
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-23 18:57:00,"When performing feature selection analysis, do we have to perform ALL the recommended analysis methods (graphical method (times series) & advanced methods (anova, based on correlation, etc.), or we are at liberty to choose between the two methods? **@user’s discretion**

Similarly in the time series analysis, do we have to use the previous graphical methods to identify trends AND develop a model (ARIMA, Prophet, other regressors), or we can choose between the two methods? **@user’s discretion**

It is stated in the description of the challenge: “You MUST AT LEAST perform the graphical methods described below in order to be considered for the competition.” Does this mean we have to do what is described under ‘Graphical Method’? or it means we can choose to do that which is described as ‘Potential Advanced Methods’ instead? 
**Users must perform at least that. Doing more would potentially give him a higher score.**",,🤘🏾 (1),0.8577
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],818046432446513214,Konrad#6060,2022-09-26 00:09:00,"Hi all, I was trying to submit using the questbook.app link provided in the challenge, but the `submit button` doesn't work (no confirmation, nothing in 'my proposals'). Tried using Chrome and Firefox, both outputting errors when I visit the console logs. Do any of you have the same issue? Anyone knows how to fix it?",,,-0.5122
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-26 02:19:00,"Hi Konrad, you're right there seems to be a bug on Questbook. I spoke to the team and they're currently investigating. Will share more updates soon. Thanks for reporting",,,0.6557
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-26 17:58:00,"UPDATE: Questbook bug has been fixed, it apparently had to do with having the old version of the App in the cache @Konrad",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-09-30 23:24:00,"Hi, are late submission allowed for dimitra phase 2 bounty challenge?",,,0.0772
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-09-30 23:53:00,"Hi Paul, you could always try but DDL is in about 8 hours so I’d definitely recommend submitting a link to your models/presentation before midnight UTC",,,0.8231
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-10-04 02:56:00,"hey, guys. really excited to discover ocean protocol. I have a data science blog at https://dspyt.com. I have made a submission with https://www.kaggle.com/code/pavfedotov/soybean-yield notebook and considering on making a write-up in more details. Would really appreciate feedback. awesome community.",,,0.8764
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-10-04 21:54:00,"Hey guys, can anyone advise? @Andrea | Ocean Protocol 

I keep getting this error every time I try to install the ocean.py library. I have the latest versions of wheel, setuptools and pip. I am using this command:

```pip install --pre ocean-lib```",https://cdn.discordapp.com/attachments/993828971408003152/1026854910005874718/Untitled.png?ex=65dde9a8&is=65cb74a8&hm=a426982c4a859ee04742351a9c5f46d94f4770c0c27d4671d4247ba38c5e521e&,,-0.481
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-04 21:59:00,"Mmm strange, what OS are you using? Windows or Mac?",,,-0.2869
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-10-04 21:59:00,Windows,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-04 22:00:00,"Hi man, welcome to the Ocean community! We received your submission, results are currently being evaluated and winners will be announced next week  🚀",,🔥 (1),0.75
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-04 22:04:00,"Thanks, let me check with the team",,✅ (1),0.4404
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-05 00:18:00,"Any chance you could try on Linux or Mac? Windows is giving nightmares. Looks like various workarounds, but it really depends on your environment. https://www.google.com/search?q=%22getting+requirements+to+build+wheel+did+not+run+s[…]UJaANwAXgAgAGMAYgB-gGSAQMwLjKYAQCgAQHIAQnAAQE&sclient=gws-wiz",,,0.5122
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-05 00:32:00,"You can remove the —pre flag and install directly pip install ocean-lib==1.4.0 I think it’s the latest. And
If you have Ubuntu subsystem on your Windows maybe you can check if you are using WSL2. I had switched anyways to Ubuntu virtual machine @Bhalisa",,🤘🏾 (1),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-10-05 14:38:00,"Thanks, will try it out.",,,0.4404
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-10-05 15:22:00,Installed successfully without the --pre flag. Thanks mate!,,🔥 (1),0.75
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-10-05 20:49:00,"I am following the steps from the ocean.py ReadME, and this statement:
```ocean.dispenser.dispense_tokens(datatoken, amt_dispense_wei, consumer_wallet=alice_wallet)```
 gives me an error: ""Exception: Address file not found."" 🤔 
All the parameters within the function are defined, correctly, in the previous steps though. What could be the problem? please help!",,,-0.1759
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],491398040729681930,carmina19,2022-10-05 21:55:00,"Hello @Bhalisa, can you address this question on the dev-support channel please?",,,0.3182
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],491398040729681930,carmina19,2022-10-05 21:56:00,I want to know if you use the latest version of ocean.py,,👍🏾 (1),0.0772
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-06 01:11:00,"Oceaners and @📊Data scientist  🌊 

The deadline for the Dimitra Phase 2 Challenge is over and judges are currently evaluating all submissions. We have received some impressive ones, so kudos to everyone who made it on time for this round. 👏  Results will be out next week 🙏 

As we get into Q4/2022, the team has organised more and more challenges! And so, with a new week comes a new challenge. 

**This week Ocean launches its first ETH Prediction challenge. **

🎯  **Objective**: Predict ETH price over a 24-hour period using the ocean.py library and submit a report describing your approach, and insights you gained in making the predictions 

🏆  Prize Pool: $5,000 USD /payable in OCEAN
1st place:      $2,500
2nd place:    $1,500
3rd place:     $1,000

Put your python skills to work and get your head down this weekend! The DDL is on October 16th at 23:59:59 UTC 🗓 

📚 Details here: https://bit.ly/3RaofsR
______________________________________________________________________________

More challenges will be coming up in the next weeks, with prizes up to $10,000 in $OCEAN. 
We will also be releasing a schedule of all future challenges so to give enough time to everyone to familiarise with upcoming topics 🚀

Use this channel to report issues and submit feedback on **ocean.py**,  or ask questions about data challenges. 

If you're looking to organise a data challenge in partnership with Ocean, contact me or fill in this form: https://forms.gle/g2JQsnHnEA5v2zbL7",,🔥 (5),0.9719
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],756512973870203011,trangnv,2022-10-07 10:03:00,"I messed up a bit with the submission (put wrong input to some of the field on Questbook, sorry I didn't pay attention). Would that make my submission disqualified or that's ok?",,,-0.7273
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-07 14:55:00,What challenge have you submitted results for?,,,0.0772
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],756512973870203011,trangnv,2022-10-07 15:09:00,The Dimitra phase 2,,👍 (2),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-07 16:15:00,"Ok don't worry then, as long as your submission was linking back to your final work there is nothing to worry about. Results will be announced in a few days",,"🔥 (2),👍 (2)",0.7195
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-10-18 16:29:00,"Hi, Is the ethereum price prediction challenge deadline over? It is showing as 18 oct on questbook page. https://questbook.app/explore_grants/apply/?account=true&grantId=0xb904021ab793a66ac3f62844a35308c73c97d5b1&chainId=137",,,0.168
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-18 17:16:00,Yes we can accept them. Please submit the same way via Questbook.,,,0.765
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-10-18 21:27:00,"Thank you. I hope to publish before the deadline.  Just to be sure, deadline is in UTC. right?",,,0.7717
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-19 03:07:00,"Correct. Prediction obviously is for future price, from 1hr after the submission each hour for 24hrs @vishleshak",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-10-23 12:35:00,"@📊Data scientist 

The Energy Efficiency Data Challenge is now LIVE!😍

It seeks to incentivise data-driven understandings and innovations to improve energy efficiency for domestic buildings 🏨 in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿

The challenge has been designed to harness the power of energy data, build algorithms that facilitate innovation and spearhead the shift towards smarter, greener, more efficient buildings for global change 🌳

The Challenge? 🏆 

Create context around the provided energy performance dataset, generate rankings and visualizations that illustrate value, build algorithms to identify correlations and draft a concluding report with analysis and recommendations!🛠️

✅ 1st place: $3000

✅2nd place: $2000

✅3rd place: $1000

Link below 👇🏼 

https://bit.ly/3D06wAM",https://cdn.discordapp.com/attachments/993828971408003152/1033599479456219236/IMG_7252.jpg?ex=65e3fe07&is=65d18907&hm=ef0e1a203dd3d95b9e91e44ce5dbb293b6f9362e7614dcba367d2b9407c59d99&,"🔥 (2),🚀 (3)",0.9798
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],525014212108353548,randomacy,2022-10-27 15:42:00,Hello everyone! Who's interested in a brainstorm session for the data challenges,,,0.5093
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-11-06 16:46:00,https://twitter.com/oceanprotocol/status/1589170852612157440?s=46&t=mRmaO_urxDWX0bEIUz9O2g,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-11-06 21:26:00,"Hi, the questbook challenge mentions date as 7 Nov. Also,  this data challenge is part of https://hack.web3atl.io/ data challenge. Do we need to submit separately?",,,0.2263
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-11-06 23:15:00,"Hi @vishleshak - the challenge is the same, and only one entry will be considered. As per deadline, Questbook has a weird way of showing it. It’s displayed as November 7th but it’s meant to be Novemver 6th at 23:59pm UTC",,,-0.0516
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-11-06 23:22:00,I suppose it is due to different timezone. Where do we need to submit for the energy efficiency data challenge?,,,0.5994
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-11-07 07:53:00,"hi, guys",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-11-07 07:53:00,trying to submit,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-11-07 07:53:00,but the questbook shows error related to smart contract,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-11-07 07:54:00,N/A,https://cdn.discordapp.com/attachments/993828971408003152/1038964519965306911/image.png?ex=65e50d9c&is=65d2989c&hm=269cb3ac89b33abeb2b760f33160c471fe0f02eebfd940bcd687de9c6c35b723&,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],808671023276883998,fedotov_am,2022-11-07 08:20:00,"oh, it seems to be sent under proposals section",,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-11-07 13:57:00,Correct. Have you managed to submit it on time via Questbook? @vishleshak @fedotov_am,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-11-07 17:52:00,"No, It was late for me to submit. I left some work for nov 7 based on questbook deadline.",,,-0.296
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],548511512650579988,vishleshak,2022-11-07 20:22:00,"Hi, Is it possible to submit with late penalty?",,,-0.4588
